Description:           Daily Index of EDGAR Dissemination Feed
Last Data Received:    Apr  2, 2019
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
CIK|Company Name|Form Type|Date Filed|File Name
--------------------------------------------------------------------------------
1000177|NORDIC AMERICAN TANKERS Ltd|6-K|20190402|edgar/data/1000177/0000919574-19-002684.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000042.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000043.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000044.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000045.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000046.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000047.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000048.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000049.txt
1000229|CORE LABORATORIES N V|4|20190402|edgar/data/1000229/0001000229-19-000050.txt
1000275|ROYAL BANK OF CANADA|424B2|20190402|edgar/data/1000275/0001140361-19-006335.txt
1000275|ROYAL BANK OF CANADA|424B2|20190402|edgar/data/1000275/0001140361-19-006336.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006249.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006255.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006262.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006268.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006269.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006282.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006287.txt
1000275|ROYAL BANK OF CANADA|FWP|20190402|edgar/data/1000275/0001140361-19-006307.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|20190402|edgar/data/1000683/0001213900-19-005626.txt
1000697|WATERS CORP /DE/|4|20190402|edgar/data/1000697/0001127602-19-013958.txt
1000697|WATERS CORP /DE/|4|20190402|edgar/data/1000697/0001127602-19-013960.txt
1000697|WATERS CORP /DE/|4|20190402|edgar/data/1000697/0001127602-19-013961.txt
1000753|INSPERITY, INC.|4|20190402|edgar/data/1000753/0001127602-19-014137.txt
1000753|INSPERITY, INC.|4|20190402|edgar/data/1000753/0001127602-19-014140.txt
1000753|INSPERITY, INC.|4|20190402|edgar/data/1000753/0001127602-19-014143.txt
1000753|INSPERITY, INC.|4|20190402|edgar/data/1000753/0001127602-19-014145.txt
1000753|INSPERITY, INC.|4|20190402|edgar/data/1000753/0001127602-19-014148.txt
1000753|INSPERITY, INC.|4|20190402|edgar/data/1000753/0001127602-19-014149.txt
1001085|BROOKFIELD ASSET MANAGEMENT INC.|4|20190402|edgar/data/1001085/0001140361-19-006291.txt
1003078|MSC INDUSTRIAL DIRECT CO INC|4|20190402|edgar/data/1003078/0001003078-19-000082.txt
1003078|MSC INDUSTRIAL DIRECT CO INC|4|20190402|edgar/data/1003078/0001003078-19-000084.txt
1003078|MSC INDUSTRIAL DIRECT CO INC|4|20190402|edgar/data/1003078/0001003078-19-000086.txt
1003078|MSC INDUSTRIAL DIRECT CO INC|4|20190402|edgar/data/1003078/0001003078-19-000088.txt
1003078|MSC INDUSTRIAL DIRECT CO INC|4|20190402|edgar/data/1003078/0001003078-19-000090.txt
1003078|MSC INDUSTRIAL DIRECT CO INC|4|20190402|edgar/data/1003078/0001003078-19-000092.txt
1003078|MSC INDUSTRIAL DIRECT CO INC|4|20190402|edgar/data/1003078/0001003078-19-000094.txt
1004554|FARRELL THOMAS F II|4|20190402|edgar/data/1004554/0001182489-19-000149.txt
1004702|OCEANFIRST FINANCIAL CORP|CORRESP|20181213|edgar/data/1004702/0001193125-18-348966.txt
1004702|OCEANFIRST FINANCIAL CORP|UPLOAD|20181210|edgar/data/1004702/0000000000-18-037648.txt
1004724|REGIONAL HEALTH PROPERTIES, INC|NT 10-K|20190402|edgar/data/1004724/0001564590-19-010589.txt
1004980|PG&E Corp|8-K|20190402|edgar/data/1004980/0000950157-19-000421.txt
100517|United Continental Holdings, Inc.|4|20190402|edgar/data/100517/0000899243-19-009609.txt
100517|United Continental Holdings, Inc.|4|20190402|edgar/data/100517/0000899243-19-009610.txt
100517|United Continental Holdings, Inc.|4|20190402|edgar/data/100517/0000899243-19-009613.txt
1005201|Assertio Therapeutics, Inc|3|20190402|edgar/data/1005201/0001005201-19-000054.txt
1005201|Assertio Therapeutics, Inc|4|20190402|edgar/data/1005201/0001005201-19-000056.txt
1005210|SUBURBAN PROPANE PARTNERS LP|CORRESP|20181218|edgar/data/1005210/0001193125-18-351732.txt
1005210|SUBURBAN PROPANE PARTNERS LP|UPLOAD|20181217|edgar/data/1005210/0000000000-18-038292.txt
1005284|UNIVERSAL DISPLAY CORP \PA\|4|20190402|edgar/data/1005284/0001005284-19-000065.txt
1005284|UNIVERSAL DISPLAY CORP \PA\|4|20190402|edgar/data/1005284/0001005284-19-000067.txt
1005284|UNIVERSAL DISPLAY CORP \PA\|4|20190402|edgar/data/1005284/0001005284-19-000069.txt
1005284|UNIVERSAL DISPLAY CORP \PA\|4|20190402|edgar/data/1005284/0001005284-19-000071.txt
1005284|UNIVERSAL DISPLAY CORP \PA\|4|20190402|edgar/data/1005284/0001005284-19-000073.txt
1005516|BOS BETTER ONLINE SOLUTIONS LTD|6-K|20190402|edgar/data/1005516/0001213900-19-005595.txt
1005757|CSG SYSTEMS INTERNATIONAL INC|DEF 14A|20190402|edgar/data/1005757/0001564590-19-010491.txt
1005757|CSG SYSTEMS INTERNATIONAL INC|DEFA14A|20190402|edgar/data/1005757/0001564590-19-010492.txt
1005942|PUTNAM FUNDS TRUST|497|20190402|edgar/data/1005942/0000928816-19-000643.txt
1005942|PUTNAM FUNDS TRUST|497|20190402|edgar/data/1005942/0000928816-19-000651.txt
1006057|NOVICH NEIL S|4|20190402|edgar/data/1006057/0001214659-19-002479.txt
1007330|PRGX GLOBAL, INC.|4|20190402|edgar/data/1007330/0001209191-19-022683.txt
1007330|PRGX GLOBAL, INC.|4|20190402|edgar/data/1007330/0001209191-19-022685.txt
1007707|COURTOT PHILIPPE F|4|20190402|edgar/data/1007707/0001209191-19-022407.txt
1008357|KODOSKY JEFFREY L|4|20190402|edgar/data/1008357/0001567619-19-008112.txt
1008463|TAN LIP BU|4|20190402|edgar/data/1008463/0001179706-19-000035.txt
1008544|MCCARTHY MICHAEL R|4|20190402|edgar/data/1008544/0000100885-19-000110.txt
1008785|FORTUN WAYNE M|4|20190402|edgar/data/1008785/0001209191-19-022524.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000098.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000100.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000102.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000104.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000106.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000108.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000110.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000112.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000114.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000116.txt
100885|UNION PACIFIC CORP|4|20190402|edgar/data/100885/0000100885-19-000118.txt
1009059|ALBERT CONRAD P|4|20190402|edgar/data/1009059/0001022321-19-000035.txt
1009161|SILBER ALLAN C|4|20190402|edgar/data/1009161/0001209191-19-022163.txt
1009759|CAPSTONE TURBINE Corp|3|20190402|edgar/data/1009759/0001770907-19-000006.txt
1009879|TISCH ANDREW H|4|20190402|edgar/data/1009879/0001209191-19-022149.txt
1010178|TISCH JAMES S|4|20190402|edgar/data/1010178/0001209191-19-022151.txt
1010178|TISCH JAMES S|4|20190402|edgar/data/1010178/0001231205-19-000111.txt
1011006|ALTABA INC.|DEFA14A|20190402|edgar/data/1011006/0001193125-19-095724.txt
1011006|ALTABA INC.|PRE 14A|20190402|edgar/data/1011006/0001193125-19-095735.txt
1011814|KINETICS ASSET MANAGEMENT LLC|4|20190402|edgar/data/1011814/0001519418-19-000020.txt
101199|UNITED FIRE GROUP INC|DEF 14A|20190402|edgar/data/101199/0000101199-19-000045.txt
1012019|RUSH ENTERPRISES INC \TX\|DEF 14A|20190402|edgar/data/1012019/0001437749-19-006413.txt
1012139|GUANGSHEN RAILWAY CO LTD|6-K|20190402|edgar/data/1012139/0001193125-19-095751.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022639.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022642.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022643.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022645.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022647.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022648.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022649.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022651.txt
1012620|GENESEE & WYOMING INC|4|20190402|edgar/data/1012620/0001209191-19-022652.txt
1012771|FBL FINANCIAL GROUP INC|4|20190402|edgar/data/1012771/0001740236-19-000045.txt
1012791|ROCCA MICHAEL A|4|20190402|edgar/data/1012791/0001468174-19-000050.txt
1013082|KRONE ROGER A|4|20190402|edgar/data/1013082/0001225208-19-006130.txt
