Description:           Daily Index of EDGAR Dissemination Feed
Last Data Received:    Apr  1, 2019
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
CIK|Company Name|Form Type|Date Filed|File Name
--------------------------------------------------------------------------------
1000045|NICHOLAS FINANCIAL INC|8-K|20190401|edgar/data/1000045/0001193125-19-093800.txt
1000209|MEDALLION FINANCIAL CORP|SC 13D/A|20190401|edgar/data/1000209/0001193125-19-094732.txt
1000228|HENRY SCHEIN INC|4|20190401|edgar/data/1000228/0001209191-19-021970.txt
1000275|ROYAL BANK OF CANADA|424B2|20190401|edgar/data/1000275/0001140361-19-006199.txt
1000275|ROYAL BANK OF CANADA|424B2|20190401|edgar/data/1000275/0001140361-19-006231.txt
1000275|ROYAL BANK OF CANADA|424B2|20190401|edgar/data/1000275/0001140361-19-006235.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006098.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006139.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006151.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006157.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006175.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006177.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006180.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006184.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006197.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006202.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006226.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006233.txt
1000275|ROYAL BANK OF CANADA|FWP|20190401|edgar/data/1000275/0001140361-19-006242.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000051.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000052.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000053.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000054.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000055.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000056.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000057.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|4|20190401|edgar/data/1000623/0001000623-19-000058.txt
1000683|BLONDER TONGUE LABORATORIES INC|10-K|20190401|edgar/data/1000683/0001213900-19-005351.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|20190401|edgar/data/1000683/0001213900-19-005354.txt
1000694|NOVAVAX INC|DEF 14A|20190401|edgar/data/1000694/0001144204-19-017507.txt
1001039|TWDC Enterprises 18 Corp.|15-12B|20190401|edgar/data/1001039/0000950157-19-000406.txt
1001115|GEOSPACE TECHNOLOGIES CORP|8-K|20190401|edgar/data/1001115/0001193125-19-094630.txt
100122|TUCSON ELECTRIC POWER CO|8-K|20190401|edgar/data/100122/0000100122-19-000006.txt
1001290|CREDICORP LTD|6-K|20190401|edgar/data/1001290/0001144204-19-017112.txt
1001316|TG THERAPEUTICS, INC.|8-K|20190401|edgar/data/1001316/0001654954-19-003766.txt
1001385|NORTHWEST PIPE CO|8-K|20190401|edgar/data/1001385/0001437749-19-006252.txt
1001463|Acacia Diversified Holdings, Inc.|10-K|20190401|edgar/data/1001463/0001185185-19-000474.txt
1001601|MGT CAPITAL INVESTMENTS, INC.|NT 10-K|20190401|edgar/data/1001601/0001493152-19-004537.txt
1002537|NEEDHAM FUNDS INC|497|20190401|edgar/data/1002537/0000894189-19-001974.txt
1002537|NEEDHAM FUNDS INC|497|20190401|edgar/data/1002537/0000894189-19-001975.txt
1004434|AFFILIATED MANAGERS GROUP, INC.|10-K/A|20190401|edgar/data/1004434/0001004434-19-000011.txt
100493|TYSON FOODS, INC.|4/A|20190401|edgar/data/100493/0000100493-19-000056.txt
1004980|PG&E Corp|8-K|20190401|edgar/data/1004980/0001004980-19-000006.txt
1004980|PG&E Corp|DFAN14A|20190401|edgar/data/1004980/0000903423-19-000173.txt
1004989|SPAR GROUP INC|NT 10-K|20190401|edgar/data/1004989/0001437749-19-006183.txt
1005201|Assertio Therapeutics, Inc|8-K|20190401|edgar/data/1005201/0001005201-19-000050.txt
1005516|BOS BETTER ONLINE SOLUTIONS LTD|20-F|20190401|edgar/data/1005516/0001213900-19-005344.txt
1006045|IRIDEX CORP|8-K|20190401|edgar/data/1006045/0001564590-19-010390.txt
100625|SIERRA MONITOR CORP /CA/|10-K|20190401|edgar/data/100625/0001493152-19-004616.txt
1006938|NORTHLAND SECURITIES, INC.|MA-I/A|20190328|edgar/data/1006938/0001006938-19-000008.txt
100716|UNICO AMERICAN CORP|10-K|20190401|edgar/data/100716/0000100716-19-000017.txt
1007330|PRGX GLOBAL, INC.|8-K|20190401|edgar/data/1007330/0001193125-19-094560.txt
1007382|MORRIS DOUGLAS P|4|20190401|edgar/data/1007382/0001007382-19-000002.txt
1007433|JAMES BROOKE WILLIAMS|4|20190401|edgar/data/1007433/0000318300-19-000115.txt
1007444|LPL Financial LLC /TA|TA-2|20190401|edgar/data/1007444/0001007444-19-000008.txt
1008654|TUPPERWARE BRANDS CORP|4|20190401|edgar/data/1008654/0001127602-19-013871.txt
1008654|TUPPERWARE BRANDS CORP|4|20190401|edgar/data/1008654/0001127602-19-013881.txt
1008654|TUPPERWARE BRANDS CORP|4|20190401|edgar/data/1008654/0001127602-19-013887.txt
1009001|CAMECO CORP|6-K|20190401|edgar/data/1009001/0001193125-19-094143.txt
1009268|D. E. SHAW & CO, L.P.|SC 13G|20190401|edgar/data/1009268/0001144204-19-017407.txt
1009672|CARBO CERAMICS INC|10-Q/A|20190401|edgar/data/1009672/0001564590-19-010442.txt
1009672|CARBO CERAMICS INC|DEF 14A|20190401|edgar/data/1009672/0001564590-19-010400.txt
1009891|AIR INDUSTRIES GROUP|10-K|20190401|edgar/data/1009891/0001213900-19-005550.txt
1009922|NXT Energy Solutions Inc.|6-K|20190401|edgar/data/1009922/0001171843-19-002133.txt
1011395|Geospatial Corp|NT 10-K|20190401|edgar/data/1011395/0001376474-19-000066.txt
1011509|Golden Minerals Co|DEF 14A|20190401|edgar/data/1011509/0001104659-19-019004.txt
1011509|Golden Minerals Co|DEFA14A|20190401|edgar/data/1011509/0001104659-19-019006.txt
1011570|KNOLL INC|4|20190401|edgar/data/1011570/0001388038-19-000034.txt
1011662|GLOBAL DIGITAL SOLUTIONS INC|NT 10-K|20190401|edgar/data/1011662/0001654954-19-003726.txt
1011814|KINETICS ASSET MANAGEMENT LLC|4|20190401|edgar/data/1011814/0001519418-19-000019.txt
1011996|STAAR INVESTMENT TRUST|24F-2NT|20190401|edgar/data/1011996/0001162044-19-000191.txt
1012856|BURGESS ERNEST G III|4/A|20190401|edgar/data/1012856/0001437749-19-006225.txt
1013065|AUSTIN WILLIAM M|4|20190401|edgar/data/1013065/0001013065-19-000004.txt
1013606|ENDOLOGIX INC /DE/|10-K|20190401|edgar/data/1013606/0001013606-19-000059.txt
1013606|ENDOLOGIX INC /DE/|8-K|20190401|edgar/data/1013606/0001193125-19-093647.txt
1013606|ENDOLOGIX INC /DE/|S-8|20190401|edgar/data/1013606/0001013606-19-000062.txt
1013611|JP MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES CORP|ABS-15G|20190401|edgar/data/1013611/0001539497-19-000539.txt
1013611|JP MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES CORP|ABS-15G|20190401|edgar/data/1013611/0001539497-19-000539.txt
1013611|JP MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES CORP|ABS-15G|20190401|edgar/data/1013611/0001539497-19-000539.txt
101368|UNITED MEXICAN STATES|18-K/A|20190401|edgar/data/101368/0001193125-19-093495.txt
101368|UNITED MEXICAN STATES|424B2|20190401|edgar/data/101368/0001193125-19-093503.txt
1013857|PEGASYSTEMS INC|4|20190401|edgar/data/1013857/0001209191-19-021983.txt
1013857|PEGASYSTEMS INC|4|20190401|edgar/data/1013857/0001209191-19-021986.txt
1013857|PEGASYSTEMS INC|4|20190401|edgar/data/1013857/0001209191-19-021987.txt
1013857|PEGASYSTEMS INC|4|20190401|edgar/data/1013857/0001209191-19-021995.txt
1013857|PEGASYSTEMS INC|4|20190401|edgar/data/1013857/0001209191-19-021999.txt
1013857|PEGASYSTEMS INC|4|20190401|edgar/data/1013857/0001209191-19-022001.txt
1013857|PEGASYSTEMS INC|4|20190401|edgar/data/1013857/0001209191-19-022010.txt
